id,status,traj,step,moved,sign,file,error,z_extraction [mm],wallclock [s],KE_IE_steady_max [%],KE_IE_overall_max [%],AE_IE_final [%],E_ref [mJ],ETOTAL_drift [%],ALLIE_max [mJ],ALLPW [%],KE_final_over_IE_peak [%],F_n [N],F_t [N],F_fit_mode [-],F_fit_n [samples],F_fit_z [mm],SCOF_mean [-],SCOF_std [-],SCOF_n [samples],h_r [mm],h_p [mm],h_fp [mm],quality_flags,in_design,u_X,g_X,u_h,g_h,u_w,g_w,u_eps_c,g_eps_c,u_beta,g_beta,u_K,g_K,u_mu_eff,g_mu_eff,u_phi,g_phi
00037,MISSING,4,0,,0,,no *_Results.csv for this design id,,,,,,,,,,,,,,,,,,,,,,,1,0.0,12.0,0.3333333333,0.15,0.6666666667,0.1166666667,1.0,0.2,0.0,1.0,0.0,0.778,1.0,0.45,0.6666666667,0.6333333333
00038,SUSPECT,4,1,h,1,Design_00038_Results.csv,,1.8436754176610979,1564.0,2.092238042956215,14.237195385400636,0.9221839259259259,1.3652324676513672,0.23294639660682478,0.6380457282066345,2.772893672941916,0.005692001333421137,4.339950224331447,3.332975908688136,ramp_fit,20,1.98,0.7193324233434122,0.045762200569427064,67,0.025016795117564057,0.003915806577830928,0.03224793346342415,ALLPW=2.77%>2,1,0.0,12.0,1.0,0.45,0.6666666667,0.1166666667,1.0,0.2,0.0,1.0,0.0,0.778,1.0,0.45,0.6666666667,0.6333333333
00039,SUSPECT,4,2,w,-1,Design_00039_Results.csv,,1.795942720763723,1768.0,1.1748037082258909,14.23043337380607,1.5196985199728843,1.5404138565063477,0.14629347493655745,0.839790403842926,3.4853424156209503,0.0024070757358414063,4.296137002536229,3.8226581641605915,ramp_fit,20,1.98,0.8426262607506015,0.0517910477746445,67,0.027676704794653843,0.0016439660798228473,0.050220258529034466,ALLPW=3.49%>2,1,0.0,12.0,1.0,0.45,0.0,-0.35,1.0,0.2,0.0,1.0,0.0,0.778,1.0,0.45,0.6666666667,0.6333333333
00040,SUSPECT,4,3,eps_c,-1,Design_00040_Results.csv,,1.8496420047732696,1525.0,0.5945879729792731,14.22563171520145,1.481632062279872,1.5383764505386353,0.17307185379404635,0.8384808897972107,3.558289325932594,0.0024898796802525127,4.099377608299255,3.7246352059500554,ramp_fit,20,1.98,0.8630762765256383,0.054376316248898646,67,0.028712040173060262,0.002930932068397527,0.0510862957983773,ALLPW=3.56%>2,1,0.0,12.0,1.0,0.45,0.0,-0.35,0.3333333333,0.1,0.0,1.0,0.0,0.778,1.0,0.45,0.6666666667,0.6333333333
00041,SUSPECT,4,4,phi,-1,Design_00041_Results.csv,,1.8496420047732696,1745.0,0.5935746549154637,14.22563171520145,1.5640116424592947,1.639267921447754,0.2105427883040694,0.909532368183136,3.7860234644658757,0.002321608251392902,4.162443862642561,3.985190875189646,ramp_fit,20,1.98,0.9234659474966191,0.07146786651391344,67,0.02906201707256075,0.0026411248070741574,0.05325629799584789,ALLPW=3.79%>2,1,0.0,12.0,1.0,0.45,0.0,-0.35,0.3333333333,0.1,0.0,1.0,0.0,0.778,1.0,0.45,0.0,0.0
00042,SUSPECT,4,5,K,1,Design_00042_Results.csv,,1.8556085918854415,1891.0,0.85155129370739,14.287951576383215,1.4576386742719114,1.5091643333435059,0.3891763926062585,0.7661096453666687,3.9593667563785426,0.0027595512078024647,3.7085541963577264,3.5206263065338135,ramp_fit,20,1.98,0.8867263239122121,0.07883549207847325,65,0.02936848042520137,0.007732747966576506,0.042354477405586344,ALLPW=3.96%>2,1,0.0,12.0,1.0,0.45,0.0,-0.35,0.3333333333,0.1,0.0,1.0,0.6666666667,0.926,1.0,0.45,0.0,0.0
00043,OK,4,6,mu_eff,-1,Design_00043_Results.csv,,1.8436754176610979,1902.0,0.20845989818869837,8.072870563573552,1.11457753731086,0.8013290762901306,0.3777692225814636,0.3906209468841553,1.7201448876608878,0.0013814901619662282,3.6863282918930054,1.790635597705841,ramp_fit,20,1.98,0.49790424018723944,0.019161721875267046,68,0.025668751499292656,0.008114960256504808,0.028778953222816598,,1,0.0,12.0,1.0,0.45,0.0,-0.35,0.3333333333,0.1,0.0,1.0,0.6666666667,0.926,0.3333333333,0.1833333333,0.0,0.0
00044,SUSPECT,4,7,X,1,Design_00044_Results.csv,,1.867541766109785,3702.0,0.07537553948760885,0.883040059852635,1.9358289912411675,1.2910419702529907,0.21663893132484674,0.7754965424537659,2.056266992657925,0.0005918742889634186,5.644135216304234,2.826160655702864,ramp_fit,20,1.98,0.4932151860194501,0.02507545900491917,69,0.03326238880853525,0.015580068019768615,0.041689181483159664,ALLPW=2.06%>2,1,0.6666666667,35.08821286,1.0,0.45,0.0,-0.35,0.3333333333,0.1,0.0,1.0,0.6666666667,0.926,0.3333333333,0.1833333333,0.0,0.0
00045,OK,4,8,beta,1,Design_00045_Results.csv,,1.831742243436754,3421.0,0.06388968799710114,0.883040059852635,1.5688814192667144,1.2153968811035156,0.21466373777302272,0.7413114905357361,1.926736182220998,0.0008183271041106152,6.16105248587472,2.7335666349955967,ramp_fit,20,1.98,0.39686712912855016,0.0474161147501729,72,0.03250664165645732,0.013848116404528186,0.03312354500616005,,1,0.6666666667,35.08821286,1.0,0.45,0.0,-0.35,0.3333333333,0.1,0.6666666667,23.66666667,0.6666666667,0.926,0.3333333333,0.1833333333,0.0,0.0
00046,OK,5,0,,0,Design_00046_Results.csv,,1.8854415274463006,2636.0,0.0568383589027107,0.9777473731220365,1.0694714113687973,1.2578799724578857,0.03337177599555415,0.7800304889678955,1.9359949516492918,0.0006286940710343423,6.935490996497016,2.9910622119903563,ramp_fit,20,1.98,0.3474438036006432,0.06344039005645151,71,0.03223150601495807,0.013059307678483565,0.031025135457315056,,1,0.6666666667,35.08821286,0.3333333333,0.15,1.0,0.35,0.0,0.05,0.3333333333,12.33333333,0.6666666667,0.926,0.3333333333,0.1833333333,0.6666666667,0.6333333333
