file,z [mm],d_cmd [um],F_n [N],F_t [N],SCOF [-],w0 [um],w0_s [um],h_r [um],h_p [um],h_p_left [um],h_p_right [um],A_groove [um^2],A_pile [um^2],A_ratio [-],k_lateral [-],present
Design_00001_Results.csv,0.787589,9.84487,1.2313,0.485258,0.394081,99.7789,98.8993,-4.57209,0.912582,0.912582,0.912582,300.527,56.7813,0.188939,0.80498,1
Design_00001_Results.csv,0.793556,9.91945,1.24365,0.491065,0.394838,99.4107,99.3767,-4.62862,0.895929,0.895929,0.895929,304.262,57.9405,0.19043,0.799065,1
Design_00001_Results.csv,0.799523,9.99403,1.25601,0.496872,0.395595,99.6246,99.6965,-4.62859,0.89197,0.89197,0.89197,305.85,59.2345,0.193671,0.797867,1
Design_00001_Results.csv,0.805489,10.0686,1.26889,0.503032,0.396417,99.972,99.85,-4.65861,0.898349,0.898349,0.898349,308.15,60.3262,0.195769,0.797754,1
Design_00001_Results.csv,0.811456,10.1432,1.28181,0.509223,0.397245,100.393,100.224,-4.66429,0.938986,0.938986,0.938986,311.141,61.7442,0.198444,0.798238,1
Design_00001_Results.csv,0.817422,10.2178,1.29474,0.515414,0.398073,100.906,100.784,-4.64115,0.981464,0.981464,0.981464,314.943,63.029,0.200128,0.799463,1
Design_00001_Results.csv,0.823389,10.2924,1.3071,0.521057,0.398631,101.865,101.294,-4.61401,1.00303,1.00303,1.00303,319.119,63.2519,0.198208,0.804206,1
Design_00001_Results.csv,0.829356,10.3669,1.31902,0.526282,0.398985,102.01,101.824,-4.61412,1.03392,1.03392,1.03392,322.725,63.8065,0.197711,0.802529,1
Design_00001_Results.csv,0.835322,10.4415,1.33095,0.531507,0.399339,102.514,102.303,-4.64736,1.09819,1.09819,1.09819,326.686,66.1615,0.202523,0.803685,1
Design_00001_Results.csv,0.841289,10.5161,1.34282,0.536901,0.399824,102.821,102.68,-4.76988,1.13711,1.13711,1.13711,335.308,67.3769,0.20094,0.803306,1
Design_00001_Results.csv,0.847255,10.5907,1.35453,0.542908,0.400789,103.375,103.139,-4.81139,1.1886,1.1886,1.1886,341.16,68.8377,0.201775,0.804857,1
Design_00001_Results.csv,0.853222,10.6653,1.36623,0.548914,0.401753,103.845,103.586,-4.86734,1.2462,1.2462,1.2462,345.973,70.4219,0.203547,0.805766,1
Design_00001_Results.csv,0.859189,10.7399,1.37793,0.554921,0.402717,104.302,104.06,-4.9778,1.29994,1.29994,1.29994,351.998,71.8488,0.204117,0.806571,1
Design_00001_Results.csv,0.865155,10.8144,1.38978,0.559831,0.402819,104.717,104.521,-5.10351,1.3453,1.3453,1.3453,359.343,73.2924,0.203962,0.80706,1
Design_00001_Results.csv,0.871122,10.889,1.40166,0.564569,0.402787,105.222,104.991,-5.17919,1.39192,1.39192,1.39192,365.601,74.6427,0.204165,0.808246,1
Design_00001_Results.csv,0.877088,10.9636,1.41354,0.569307,0.402754,105.724,105.427,-5.27603,1.44204,1.44204,1.44204,373.14,75.8894,0.203381,0.809416,1
Design_00001_Results.csv,0.883055,11.0382,1.42572,0.574718,0.403097,106.045,105.858,-5.35177,1.45549,1.45549,1.45549,379.567,77.1471,0.20325,0.809201,1
Design_00001_Results.csv,0.889021,11.1128,1.4382,0.580769,0.403798,106.443,106.37,-5.4429,1.44037,1.44037,1.44037,384.891,77.8617,0.202296,0.809589,1
Design_00001_Results.csv,0.894988,11.1874,1.45069,0.58682,0.404499,107.27,106.947,-5.50712,1.4361,1.4361,1.4361,394.083,78.425,0.199006,0.813229,1
Design_00001_Results.csv,0.900955,11.2619,1.46337,0.593035,0.405249,108.032,107.554,-5.60848,1.42262,1.42262,1.42262,404.268,78.7989,0.194917,0.816371,1
Design_00001_Results.csv,0.906921,11.3365,1.47712,0.600116,0.406252,108.473,108.04,-5.71001,1.41392,1.41392,1.41392,409.839,79.4312,0.193811,0.817078,1
Design_00001_Results.csv,0.912888,11.4111,1.49086,0.607197,0.407255,108.387,108.402,-5.79505,1.41337,1.41337,1.41337,412.954,80.8454,0.195773,0.813836,1
Design_00001_Results.csv,0.918854,11.4857,1.50461,0.614277,0.408259,108.716,108.686,-5.85304,1.401,1.401,1.401,419.306,81.7995,0.195083,0.813734,1
Design_00001_Results.csv,0.924821,11.5603,1.51885,0.620511,0.408538,109.169,109.018,-5.92135,1.39139,1.39139,1.39139,427.615,82.555,0.193059,0.814559,1
Design_00001_Results.csv,0.930788,11.6348,1.53322,0.626544,0.408644,109.8,109.527,-5.98849,1.37533,1.37533,1.37533,435.998,83.5088,0.191535,0.816716,1
Design_00001_Results.csv,0.936754,11.7094,1.54758,0.632576,0.40875,110.424,110.041,-6.05054,1.29681,1.29681,1.29681,441.255,82.9316,0.187945,0.818817,1
Design_00001_Results.csv,0.942721,11.784,1.56165,0.638943,0.409137,110.772,110.505,-6.10966,1.25167,1.25167,1.25167,445.927,83.4446,0.187126,0.818876,1
Design_00001_Results.csv,0.948687,11.8586,1.57538,0.645709,0.409858,111.023,110.997,-6.17668,1.25418,1.25418,1.25418,451.751,85.127,0.188438,0.818219,1
Design_00001_Results.csv,0.954654,11.9332,1.58911,0.652475,0.410578,111.768,111.416,-6.26907,1.2596,1.2596,1.2596,459.914,86.3785,0.187814,0.82121,1
