file,z [mm],d_cmd [um],F_n [N],F_t [N],SCOF [-],w0 [um],w0_s [um],h_r [um],h_p [um],h_p_left [um],h_p_right [um],A_groove [um^2],A_pile [um^2],A_ratio [-],k_lateral [-],present
Design_00001_Results.csv,0.572792,5.72792,0.838428,0.245676,0.293023,62.8825,62.7734,-0.772096,0.108248,0.108248,0.108248,33.6509,6.94596,0.206412,0.661611,1
Design_00001_Results.csv,0.578759,5.78759,0.850728,0.249211,0.292939,62.5034,62.7674,-0.797851,0.115461,0.115461,0.115461,34.6561,7.7486,0.223585,0.654274,1
Design_00001_Results.csv,0.584726,5.84726,0.862261,0.252463,0.292796,62.8846,62.7691,-0.825396,0.121296,0.121296,0.121296,35.8896,8.55009,0.238233,0.654946,1
Design_00001_Results.csv,0.590692,5.90692,0.873592,0.25564,0.292636,62.8061,62.8766,-0.864307,0.128095,0.128095,0.128095,36.7816,9.35798,0.25442,0.650867,1
Design_00001_Results.csv,0.596659,5.96659,0.884923,0.258817,0.292477,63.3122,63.0379,-0.891124,0.135008,0.135008,0.135008,37.9186,10.1196,0.266878,0.652872,1
Design_00001_Results.csv,0.602625,6.02625,0.897155,0.262281,0.29235,63.1485,63.147,-0.891875,0.14413,0.14413,0.14413,38.1168,11.1017,0.291254,0.648001,1
Design_00001_Results.csv,0.608592,6.08592,0.910533,0.266112,0.292263,63.321,63.329,-0.919124,0.15047,0.15047,0.15047,38.931,12.1348,0.3117,0.646627,1
Design_00001_Results.csv,0.614558,6.14558,0.923911,0.269943,0.292177,63.5341,63.4599,-0.932439,0.159649,0.159649,0.159649,40.0612,12.8745,0.321372,0.645695,1
Design_00001_Results.csv,0.620525,6.20525,0.937317,0.273856,0.292167,63.8359,63.5051,-0.944273,0.166031,0.166031,0.166031,40.808,13.8444,0.339258,0.645684,1
Design_00001_Results.csv,0.626492,6.26492,0.951015,0.278624,0.292948,63.3296,63.5902,-0.96512,0.173927,0.173927,0.173927,41.3527,14.959,0.361741,0.637555,1
Design_00001_Results.csv,0.632458,6.32458,0.964712,0.283392,0.293729,63.6612,63.6961,-0.989316,0.182902,0.182902,0.182902,42.2623,16.1083,0.381151,0.63791,1
Design_00001_Results.csv,0.638425,6.38425,0.978409,0.288159,0.294509,63.9575,63.663,-1.00937,0.191634,0.191634,0.191634,43.0697,16.9856,0.394374,0.637927,1
Design_00001_Results.csv,0.644391,6.44391,0.992913,0.293004,0.295081,63.7037,63.88,-0.996569,0.200825,0.200825,0.200825,42.931,18.2152,0.42429,0.632495,1
Design_00001_Results.csv,0.650358,6.50358,1.00771,0.297876,0.295578,64.1973,64.0553,-1.02183,0.207521,0.207521,0.207521,44.4805,19.0573,0.428442,0.634513,1
Design_00001_Results.csv,0.656325,6.56325,1.0225,0.302748,0.296074,64.3624,64.2335,-1.06181,0.216504,0.216504,0.216504,45.9661,20.1511,0.43839,0.633295,1
Design_00001_Results.csv,0.662291,6.62291,1.03759,0.30767,0.296518,64.6703,64.6878,-1.0886,0.226066,0.226066,0.226066,47.525,21.2435,0.446996,0.633499,1
Design_00001_Results.csv,0.668258,6.68258,1.05315,0.312673,0.296878,65.5212,65.1695,-1.10546,0.235058,0.235058,0.235058,49.2611,22.1323,0.449286,0.639011,1
Design_00001_Results.csv,0.674224,6.74224,1.06872,0.317677,0.297238,66.1238,65.4972,-1.14714,0.245574,0.245574,0.245574,51.1083,22.9957,0.449941,0.642077,1
Design_00001_Results.csv,0.680191,6.80191,1.08427,0.322676,0.297596,65.6735,65.8439,-1.16059,0.257498,0.257498,0.257498,51.3452,24.762,0.482265,0.634949,1
Design_00001_Results.csv,0.686158,6.86158,1.09949,0.327554,0.297903,66.0573,66.0254,-1.23448,0.269656,0.269656,0.269656,54.27,25.8426,0.476185,0.635926,1
Design_00001_Results.csv,0.692124,6.92124,1.11471,0.332431,0.29821,66.247,66.1936,-1.28333,0.278999,0.278999,0.278999,56.5751,27.0693,0.478468,0.635045,1
Design_00001_Results.csv,0.698091,6.98091,1.12994,0.337309,0.298516,66.7967,66.8314,-1.308,0.291555,0.291555,0.291555,57.9141,28.4608,0.491432,0.63762,1
Design_00001_Results.csv,0.704057,7.04057,1.14491,0.34208,0.298778,68.2245,67.6694,-1.33425,0.305331,0.305331,0.305331,60.0829,29.6349,0.493234,0.648533,1
Design_00001_Results.csv,0.710024,7.10024,1.15976,0.3468,0.299019,69.4095,67.9777,-1.37822,0.32017,0.32017,0.32017,63.0111,30.3701,0.48198,0.65707,1
Design_00001_Results.csv,0.71599,7.1599,1.17461,0.351521,0.29926,67.4803,68.231,-1.41547,0.3354,0.3354,0.3354,63.778,32.5439,0.510269,0.636188,1
Design_00001_Results.csv,0.721957,7.21957,1.18956,0.356247,0.299477,67.8098,68.3206,-1.45366,0.352373,0.352373,0.352373,66.6701,34.1459,0.512162,0.636696,1
Design_00001_Results.csv,0.727924,7.27924,1.20469,0.360985,0.299644,68.5828,68.2574,-1.50053,0.367914,0.367914,0.367914,68.6753,35.6362,0.518908,0.641358,1
Design_00001_Results.csv,0.73389,7.3389,1.21982,0.365723,0.299812,69.1566,68.7682,-1.54586,0.385583,0.385583,0.385583,70.5533,37.2092,0.527391,0.644138,1
Design_00001_Results.csv,0.739857,7.39857,1.23495,0.370461,0.299979,69.5234,69.2935,-1.5876,0.402513,0.402513,0.402513,72.7065,38.7538,0.533016,0.644988,1
Design_00001_Results.csv,0.745823,7.45823,1.25079,0.375705,0.300362,69.911,69.7676,-1.62599,0.421423,0.421423,0.421423,75.4977,40.3546,0.534514,0.646033,1
Design_00001_Results.csv,0.75179,7.5179,1.26665,0.380962,0.30075,70.4793,70.2205,-1.66591,0.442563,0.442563,0.442563,77.4975,42.025,0.542275,0.648744,1
Design_00001_Results.csv,0.757757,7.57757,1.28251,0.386218,0.301138,70.9683,70.6799,-1.73176,0.463448,0.463448,0.463448,80.854,43.7827,0.541503,0.650718,1
Design_00001_Results.csv,0.763723,7.63723,1.29836,0.391538,0.301554,71.3608,71.1132,-1.74802,0.483988,0.483988,0.483988,82.7527,45.5378,0.550288,0.651805,1
Design_00001_Results.csv,0.76969,7.6969,1.31421,0.396894,0.301987,71.6443,71.688,-1.77117,0.504184,0.504184,0.504184,84.219,47.1411,0.559744,0.651903,1
Design_00001_Results.csv,0.775656,7.75656,1.33007,0.402251,0.302419,72.7787,72.0108,-1.78996,0.526987,0.526987,0.526987,85.8272,47.5768,0.554332,0.659723,1
Design_00001_Results.csv,0.781623,7.81623,1.346,0.407745,0.302925,72.2595,72.3187,-1.81783,0.543676,0.543676,0.543676,87.3946,49.5355,0.566802,0.652562,1
Design_00001_Results.csv,0.787589,7.87589,1.36214,0.413608,0.303624,72.5925,72.4853,-1.84256,0.56712,0.56712,0.56712,88.464,52.3219,0.591448,0.65313,1
Design_00001_Results.csv,0.793556,7.93556,1.37828,0.41947,0.304324,72.3107,72.5608,-1.8327,0.592785,0.592785,0.592785,88.2857,54.5,0.617314,0.648194,1
Design_00001_Results.csv,0.799523,7.99523,1.39441,0.425333,0.305024,73.0805,72.8383,-1.88815,0.618857,0.618857,0.618857,91.5932,56.2743,0.614394,0.652695,1
Design_00001_Results.csv,0.805489,8.05489,1.41143,0.431438,0.305656,73.3694,73.0549,-1.85703,0.648753,0.648753,0.648753,91.3691,58.1336,0.63625,0.652893,1
Design_00001_Results.csv,0.811456,8.11456,1.42853,0.437563,0.306283,73.4589,73.4103,-1.86183,0.678818,0.678818,0.678818,92.2372,60.2775,0.653505,0.651332,1
Design_00001_Results.csv,0.817422,8.17422,1.44563,0.443689,0.306909,73.7325,73.6057,-1.88204,0.705305,0.705305,0.705305,93.8058,62.1825,0.662885,0.651417,1
Design_00001_Results.csv,0.823389,8.23389,1.46329,0.449987,0.307507,73.862,73.8654,-1.87777,0.734197,0.734197,0.734197,94.11,64.0523,0.680611,0.650243,1
Design_00001_Results.csv,0.829356,8.29356,1.48138,0.456417,0.308084,74.4081,74.2044,-1.85206,0.759831,0.759831,0.759831,93.5606,65.8713,0.704049,0.652739,1
Design_00001_Results.csv,0.835322,8.35322,1.49947,0.462846,0.30866,74.8149,74.5354,-1.87237,0.786207,0.786207,0.786207,96.437,67.2056,0.696886,0.654009,1
Design_00001_Results.csv,0.841289,8.41289,1.51753,0.469268,0.309227,75.0567,74.8162,-1.89577,0.812998,0.812998,0.812998,98.8348,69.8251,0.706483,0.653842,1
